podloga,rezultat,broj_asova,duple_servis_greske,broj_servis_poena ,ubacenih_prvih_servisa,osvojenih_prvih_servisa,osvojenih_drugih_servisa,broj_servis_gemova,sacuvanih_brejk_lopti,suocenih_brejk_lopti,nivo_takmicenja,best_of,pobedio,sacuvanih_br_lopti_modified
Hard,7-5 6-2,0.034,0.068,59,0.695,0.805,0.5,5,0.667,3,R32,3,1,0.667
Hard,6-1 7-6(3),0.159,0.032,63,0.603,0.789,0.44,4.5,0.667,3,R32,3,1,0.667
Hard,4-6 7-5 7-6(4),0.037,0.056,107,0.514,0.745,0.519,5.667,0.571,7,R32,3,1,0.571
Hard,7-5 6-7(3) 6-4,0.126,0.019,103,0.573,0.746,0.636,5.667,0.5,2,R32,3,1,0.5
Hard,7-5 7-6(7),0.039,0.026,76,0.645,0.694,0.593,6,0.333,3,R32,3,1,0.333
Hard,7-5 4-6 6-3,0.117,0.019,103,0.738,0.737,0.481,5.333,0.857,7,R32,3,1,0.857
Hard,6-2 3-6 7-5,0.122,0,74,0.622,0.739,0.571,4.667,0,2,R32,3,1,1
Hard,6-0 7-6(1),0.07,0.085,71,0.577,0.732,0.4,4.5,0.6,5,R32,3,1,0.6
Hard,6-3 6-1,0.132,0.038,53,0.604,0.75,0.524,4,1,4,R32,3,1,1
Hard,6-4 6-2,0.286,0.048,42,0.548,0.913,0.789,4.5,0,0,R32,3,1,1
Hard,6-1 3-6 6-4,0.013,0.013,76,0.711,0.759,0.545,4.333,0.5,4,R32,3,1,0.5
Hard,6-3 6-4,0.19,0.052,58,0.603,0.771,0.696,5,1,2,R32,3,1,1
Hard,6-7(5) 6-3 6-1,0.029,0.039,103,0.631,0.692,0.474,4.667,0.769,13,R16,3,1,0.769
Hard,6-7(7) 6-2 6-3,0.068,0.034,118,0.644,0.658,0.452,5,0.789,19,R16,3,1,0.789
Hard,7-5 6-4,0.088,0.044,68,0.632,0.791,0.56,5.5,1,1,R16,3,1,1
Hard,6-7(3) 6-2 6-3,0.01,0.02,98,0.704,0.739,0.517,5,0.857,7,R16,3,1,0.857
Hard,6-4 6-2,0.317,0.024,41,0.634,0.923,0.8,4.5,0,0,R16,3,1,1
Hard,7-6(1) 3-6 6-2,0.247,0.024,85,0.741,0.778,0.5,4.667,0.667,3,R16,3,1,0.667
Hard,6-3 6-4,0.016,0,63,0.794,0.68,0.769,5,0.667,3,R16,3,1,0.667
Hard,6-4 6-4,0.123,0.088,57,0.526,0.8,0.556,5,0.5,2,R16,3,1,0.5
Hard,6-3 5-7 6-4,0.01,0.029,102,0.706,0.667,0.5,5.333,0.7,10,QF,3,1,0.7
Hard,6-4 6-4,0,0,58,0.759,0.75,0.643,5,0.8,5,QF,3,1,0.8
Hard,6-7(4) 7-6(4) 7-6(5),0.161,0.018,112,0.83,0.828,0.737,6,1,3,QF,3,1,1
Hard,6-1 6-3,0.018,0.036,55,0.745,0.756,0.571,4,1,6,QF,3,1,1
Hard,6-4 7-6(4),0.054,0.081,74,0.622,0.761,0.429,5.5,0.6,5,SF,3,1,0.6
Hard,3-6 7-6(2) 6-4,0.198,0.023,86,0.663,0.807,0.517,5,0.333,3,SF,3,1,0.333
Hard,7-6(4) 7-6(7),0.288,0.05,80,0.738,0.864,0.524,6,1,1,F,3,1,1
